year,annotation,consumption,consumption residential,consumption non-residential
2003,,411390.0,119958.0,291432.0
2004,,405351.0,118543.0,286808.0
2005,,382840.0,115460.0,267380.0
2006,,423807.0,129863.0,293944.0
2007,,392183.0,155899.0,236284.0
2008,,391716.0,172815.0,218901.0
2009,,421544.0,173452.0,248092.0
2010,,467717.0,165832.0,301885.0
2011,,486742.0,167281.0,319461.0
2012,,493457.0,170731.0,322726.0
2013,,429250.0,148497.0,280753.0
2014,start of forecast,457469.0,149822.0,307647.0
2015,,457413.0,149767.0,307647.0
2016,,457357.0,149711.0,307647.0
2017,,457316.0,149669.0,307647.0
2018,,457279.0,149632.0,307647.0
2019,,457279.0,149632.0,307647.0
2020,,457295.0,149649.0,307647.0
2021,,457340.0,149693.0,307647.0
2022,,457373.0,149727.0,307647.0
2023,,457404.0,149757.0,307647.0
2024,,457464.0,149817.0,307647.0
2025,,457504.0,149857.0,307647.0
2026,,457589.0,149942.0,307647.0
2027,,457616.0,149970.0,307647.0
2028,,457674.0,150027.0,307647.0
2029,,457806.0,150159.0,307647.0
2030,,457913.0,150266.0,307647.0
2031,,457994.0,150347.0,307647.0
2032,,458031.0,150384.0,307647.0
2033,,458034.0,150387.0,307647.0
2034,,458053.0,150406.0,307647.0
2035,,458096.0,150450.0,307647.0
2036,,458154.0,150508.0,307647.0
2037,,458244.0,150597.0,307647.0
2038,,458318.0,150671.0,307647.0
2039,,458365.0,150719.0,307647.0
2040,,458399.0,150752.0,307647.0
