year,Base case cost,Modeled transmission and interties
2021,793620.378159,2326482.86058
2022,815018.787423,2349223.08791
2023,830648.648528,2366941.40451
2024,843818.393507,2381878.81652
2025,858766.007329,2397291.17382
2026,873121.956753,2413539.54274
2027,885124.188994,2427116.70322
2028,894141.499506,2437314.77195
2029,910202.707682,2453984.44081
2030,918158.185488,2462985.27885
2031,932895.877069,2479669.13747
2032,947718.400241,2494922.46159
2033,963435.249672,2511194.88522
2034,977699.897299,2527338.78786
2035,988459.849976,2539520.74355
2036,1004124.21885,2557252.53944
2037,1014897.11194,2567933.32912
2038,1031005.76829,2584654.49638
2039,1040693.8235,2595623.38618
2040,1056179.18333,2613155.13626
