year,Base case cost,Modeled residential ashp
2017,120600.224363,166032.51722
2018,129293.558947,172299.707983
2019,141215.846378,181350.272722
2020,146928.609105,185126.601559
2021,150654.323927,187232.512288
2022,153386.514796,188515.503262
2023,147677.314367,181490.761612
2024,149329.858445,181888.136149
2025,151218.480248,182508.686604
2026,153343.179777,183351.863283
2027,147141.848838,175927.731796
2028,148484.495614,176142.131396
2029,150498.465778,176940.119304
2030,151617.338091,177009.261459
2031,153855.082717,178035.842081
