year,Base case cost,Modeled residential ashp
2017,1271208.63627,1942149.94245
2018,1381420.77579,2028390.02007
2019,1521733.1853,2141750.3812
2020,1614312.59569,2214341.53583
2021,1709420.84246,2291626.04947
2022,1782314.65197,2348115.94884
2023,1846954.96193,2397764.81032
2024,1909245.86188,2445732.373
2025,1975719.88227,2497806.98548
2026,2062521.96992,2570126.73881
2027,2131162.89987,2624932.87464
2028,2197113.57938,2677689.76228
2029,2287659.82054,2754571.08619
2030,2351618.83313,2806230.7254
2031,2427997.71484,2869458.20319
