year,Base case cost,Modeled transmission and interties
2021,362083.341806,712616.063049
2022,376565.144725,719741.423894
2023,387944.229833,724369.196738
2024,398279.01784,728082.36663
2025,409962.781594,733004.070365
2026,423035.261788,740100.04555
2027,434792.619418,745696.158113
2028,445706.591229,750557.856045
2029,459823.368524,758304.667742
2030,470022.00786,762844.388064
2031,483952.592648,771570.364601
2032,499098.948268,780425.173208
2033,512837.45304,789307.975545
2034,528074.329127,798993.279607
2035,539463.717377,805212.039822
2036,555343.068002,815927.610815
2037,567311.640057,822505.324529
2038,583553.80849,833970.861026
2039,596890.490699,842505.62858
2040,613944.399585,854502.950943
