year,Base case diesel consumed,Stebbins st michael wind energy final design and permitting,Modeled wind power
2017,111200.346639,45356.2308859,
2018,112451.442531,46607.326778,
2019,113776.132299,47932.016546,73652.9319251
2020,115100.822067,49256.706314,74977.6216931
2021,116425.511835,50581.3960821,76302.3114611
2022,117676.607727,51832.4919741,77553.4073532
2023,119001.297495,53157.1817421,78878.0971212
2024,120325.987263,54481.8715101,80202.7868892
2025,121650.677031,55806.5612782,81527.4766573
2026,122975.366799,57131.2510462,82852.1664253
2027,124226.462691,58382.3469382,84103.2623173
2028,125551.152459,59707.0367063,85427.9520853
2029,127023.029979,61178.9142263,86899.8296054
2030,128421.313623,62577.1978703,88298.1132494
2031,129746.003391,63901.8876384,89622.8030174
2032,130997.099283,65152.9835304,90873.8989095
2033,132174.601299,66330.4855464,92051.4009255
2034,133352.103315,67507.9875624,93228.9029415
2035,134529.605331,68685.4895785,94406.4049575
2036,135780.701223,69936.5854705,95657.5008496
2037,137031.797115,,96908.5967416
2038,138282.893007,,98159.6926336
