year,Base case cost,St. mary's-pitka's point wind energy construction project,Modeled wind power
2017,672869.060059,1064597.00999,
2018,752455.723076,1138211.01482,
2019,863666.215659,1241095.98387,1032060.81351
2020,914615.634579,1288244.62031,1066029.9531
2021,950814.142544,1321728.28365,1090099.69011
2022,977666.867696,1346590.12274,1108057.98323
2023,994877.275014,1362533.60256,1119608.29743
2024,1012098.29995,1378487.70001,1131169.22926
2025,1029329.94251,1394452.41508,1142740.77871
2026,1051076.34975,1414569.91553,1157209.92338
2027,1070742.46142,1432788.11007,1170407.3572
2028,1088002.92324,1448781.6444,1182007.72592
2029,1107692.54536,1467023.34938,1195228.67019
2030,1120136.39868,1478562.25449,1203629.59986
2031,1144329.40945,1500945.36884,1219736.76332
2032,1166468.66871,1521455.72132,1234598.76001
2033,1191042.39708,1544219.55327,1251086.64108
2034,1215631.29348,1566998.55325,1267589.69018
2035,1230546.01918,1580827.3411,1277652.9075
2036,1255162.21804,1603633.64354,1294183.25905
2037,1270098.17898,,1304267.71162
2038,1294741.6803,,1320825.36563
