year,Base case diesel consumed,St. mary's-pitka's point wind energy construction project,Modeled wind power
2017,241171.706114,219875.061699,
2018,241171.706114,219875.061699,
2019,241247.546273,219950.901858,146103.198277
2020,241323.386433,220026.742017,146179.038437
2021,241323.386433,220026.742017,146179.038437
2022,241399.226592,220102.582177,146254.878596
2023,241475.066751,220178.422336,146330.718755
2024,241550.90691,220254.262495,146406.558914
2025,241626.747069,220330.102654,146482.399073
2026,241626.747069,220330.102654,146482.399073
2027,241702.587228,220405.942813,146558.239232
2028,241778.427388,220481.782972,146634.079392
2029,241854.267547,220557.623132,146709.919551
2030,241930.107706,220633.463291,146785.75971
2031,241930.107706,220633.463291,146785.75971
2032,242005.947865,220709.30345,146861.599869
2033,242081.788024,220785.143609,146937.440028
2034,242157.628183,220860.983768,147013.280187
2035,242233.468342,220936.823927,147089.120346
2036,242309.308502,221012.664087,147164.960506
2037,242385.148661,,147240.800665
2038,242460.98882,,147316.640824
