year,Base case cost,Modeled transmission and interties
2021,217720.717866,1727576.82251
2022,222783.990374,1710833.40835
2023,226678.815381,1693027.27124
2024,228912.907064,1674602.9719
2025,232910.535391,1658202.47496
2026,237194.842898,1642525.2796
2027,240700.185404,1626703.56996
2028,244339.255807,1611124.22388
2029,248242.438807,1596589.52288
2030,250584.348608,1580933.70962
2031,254877.849908,1567589.24988
2032,259726.321981,1555302.5082
2033,264029.017074,1542787.66647
2034,268722.866267,1530928.53555
2035,272040.989717,1518304.83237
2036,276744.868501,1507385.30639
2037,279488.797792,1494892.54369
2038,284192.676577,1484606.84642
2039,287720.585666,1473559.66786
2040,292424.46445,1464418.70893
