year,Base case cost,Modeled residential ashp
2017,48005.9428768,79339.2971686
2018,53549.1078244,82925.3668614
2019,61517.4074366,88404.1470473
2020,59733.0876337,85087.3388729
2021,62108.9018048,86220.8110147
2022,64009.5531417,87012.0732663
2023,65276.6540329,87341.5849762
2024,66226.9797013,87447.3577111
2025,61171.856521,81483.549723
2026,62607.369703,81945.9115145
2027,63755.7802485,82213.202612
2028,64760.6394759,82389.4487851
2029,66052.6013397,82787.3732275
2030,59869.518424,75879.7621888
2031,61285.3836989,76348.2479
