year,annotation,consumption,consumption residential,consumption non-residential
2003,,349555.0,184012.0,165543.0
2004,,318937.0,85866.0,233071.0
2005,,301614.0,87642.0,213972.0
2006,,302051.0,97434.0,204617.0
2007,,295567.0,92752.0,202815.0
2008,,334177.0,96898.0,237279.0
2009,,291866.0,87500.0,204366.0
2010,,259139.0,81572.0,177567.0
2011,,248283.0,72629.0,175654.0
2012,,245921.0,82108.0,163813.0
2013,,227220.0,107312.0,119908.0
2014,,229478.0,101652.0,127826.0
2015,,256668.0,115391.0,141277.0
2016,start of forecast,217586.0,87915.0,129670.0
2017,,216660.0,86990.0,129670.0
2018,,215451.0,85781.0,129670.0
2019,,213899.0,84228.0,129670.0
2020,,212322.0,82652.0,129670.0
2021,,210788.0,81118.0,129670.0
2022,,209154.0,79483.0,129670.0
2023,,207540.0,77870.0,129670.0
2024,,205866.0,76195.0,129670.0
2025,,204198.0,74527.0,129670.0
2026,,202510.0,72840.0,129670.0
2027,,200911.0,71241.0,129670.0
2028,,199372.0,69701.0,129670.0
2029,,197406.0,67736.0,129670.0
2030,,195641.0,65970.0,129670.0
2031,,194142.0,64472.0,129670.0
2032,,193016.0,63346.0,129670.0
2033,,191949.0,62279.0,129670.0
2034,,191032.0,61362.0,129670.0
2035,,190142.0,60472.0,129670.0
2036,,189272.0,59601.0,129670.0
2037,,188451.0,58780.0,129670.0
2038,,187764.0,58093.0,129670.0
2039,,187247.0,57577.0,129670.0
2040,,186876.0,57206.0,129670.0
