year,Base case cost,Modeled residential ashp
2017,1032783.59917,1355461.45836
2018,1093486.39447,1409563.63486
2019,1175444.35447,1484304.60518
2020,1213371.86506,1516615.92113
2021,1239173.10506,1537315.30954
2022,1258911.75976,1552257.59975
2023,1272579.71447,1561432.35657
2024,1283220.80387,1567777.9087
2025,1296880.64387,1577131.17932
2026,1312058.24387,1588040.63665
2027,1325718.08387,1597571.89006
2028,1336333.59917,1604247.93385
2029,1351511.09917,1615414.96495
2030,1360617.59917,1620799.3728
2031,1375804.16387,1632137.34303
