year,Base case cost,Modeled non-residential ashp
2017,344966.912972,483037.355359
2018,373854.049593,510055.203652
2019,412501.858872,546060.225986
2020,435235.132797,567633.251984
2021,454724.985338,586285.147689
2022,472291.767157,603207.347326
2023,487787.736127,618252.108769
2024,506928.771246,637070.852797
2025,522909.006076,652599.880099
2026,539976.226823,669151.435101
2027,556432.519616,685156.520366
2028,572228.637077,700565.888518
2029,594462.928375,722348.97229
2030,609787.652111,737351.404934
2031,628118.888829,755166.975908
