year,Base case cost,Modeled non-residential ashp
2017,8464103.93857,8464423.93857
2018,9577496.41911,9577816.41911
2019,11090075.8396,11090395.8396
2020,11858080.6289,11858400.6289
2021,12476815.2645,12477135.2645
2022,12931187.8787,12931507.8787
2023,13315423.4997,13315743.4997
2024,13637293.6872,13637613.6872
2025,13996664.1173,13996984.1173
2026,14428628.3564,14428948.3564
2027,14831515.7206,14831835.7206
2028,15180561.2975,15180881.2975
2029,15570412.4971,15570732.4971
2030,15869573.4748,15869893.4748
2031,16313972.2094,16314292.2094
