year,Base case cost,Modeled transmission and interties
2021,211519.185973,1238889.85539
2022,218796.476759,1248184.45608
2023,224421.279291,1255728.57364
2024,229793.072565,1262446.50447
2025,236087.281061,1270212.65971
2026,243081.918453,1278636.81367
2027,249244.451831,1286871.38728
2028,254872.011957,1293909.46547
2029,261772.201752,1302319.60376
2030,266913.046522,1308857.54391
2031,274570.195894,1318098.29493
2032,282314.209478,1328107.69467
2033,289825.895762,1337160.34067
2034,297737.433187,1347383.66376
2035,304158.49101,1355413.16602
2036,312876.624705,1365851.15013
2037,319447.971406,1374064.3314
2038,328735.548279,1386020.43362
2039,335771.549582,1395402.07898
2040,346605.447338,1408355.50661
