year,Base case cost,Modeled transmission and interties
2021,105844.384194,870678.690639
2022,109087.706036,873892.587793
2023,111550.976817,875973.606577
2024,113662.351773,877707.788896
2025,115773.726728,880135.644143
2026,118940.789162,882910.335854
2027,121087.078063,884698.852867
2028,123192.94029,886774.438181
2029,125649.779555,889195.95438
2030,127404.664745,890925.608809
2031,130221.668928,893377.00909
2032,133372.193177,896137.211549
2033,136172.659175,898897.414008
2034,139673.241673,902002.641775
2035,141401.482009,903384.554161
2036,144543.737164,906481.631723
2037,146638.573935,908546.350098
2038,149780.829091,911643.42766
2039,152172.434404,913337.764537
2040,155654.641141,916769.906047
