year,Base case cost,Modeled residential energy efficiency
2017,576496.788343,538794.20141
2018,601157.310451,555012.391303
2019,627552.696557,570255.10743
2020,637925.517978,574748.040233
2021,642000.692279,574223.366429
2022,631314.463644,559717.572285
2023,627817.248758,553180.329408
2024,611803.862226,534406.729836
2025,607660.110045,527282.874052
2026,592751.006636,509173.082558
2027,587922.685556,501421.806226
2028,581895.685621,492748.922099
2029,564684.986796,472669.768928
2030,545229.056683,450870.675644
2031,540801.434024,443127.579814
2032,535213.164116,434498.412245
2033,530119.98836,426139.331613
2034,512054.944974,404832.299622
2035,503879.159327,394186.373529
2036,498368.319193,385230.211389
