year,Base case cost,Modeled non-residential ashp
2017,98221.6117386,164728.188016
2018,107567.911357,173574.336668
2019,120585.971541,186156.856059
2020,126594.30701,191648.722829
2021,130933.660404,195462.93994
2022,134271.624554,198275.846249
2023,136608.199459,200087.120892
2024,138610.977948,201573.117947
2025,140947.552853,203410.198837
2026,143617.924173,205598.064729
2027,145954.499077,207459.756375
2028,147957.277567,208994.988787
2029,150293.852472,210880.151076
2030,151962.834547,212099.970326
2031,154967.002281,214684.183395
