year,Base case cost,Modeled residential ashp
2017,356691.714015,994106.708204
2018,384358.527719,1014378.7539
2019,416807.101719,1039632.95844
2020,430190.951053,1045944.38603
2021,437299.725146,1046135.86085
2022,432784.344035,1034859.042
2023,432347.451984,1027812.75741
2024,422516.069433,1011524.94763
2025,421417.203536,1004123.62728
2026,412647.296549,989201.684331
2027,410847.517169,981392.169498
2028,407855.026162,972528.853897
2029,396763.158046,955706.408874
2030,383441.625227,936784.343727
2031,381982.938109,929865.953134
