year,Base case cost,Modeled non-residential ashp
2017,527818.77614,602677.366708
2018,580183.176664,651606.718795
2019,638788.119073,705488.4696
2020,681449.245204,746002.690458
2021,714344.989656,777288.255955
2022,736704.009697,798573.823359
2023,762265.411344,823276.462896
2024,780367.263262,840734.243232
2025,799940.504764,859556.067888
2026,827813.202523,886462.658274
2027,853514.463848,911412.502752
2028,878232.852652,935486.819974
2029,901683.055072,957970.915022
2030,925658.54465,981409.678281
2031,949734.39173,1004519.41799
