year,Base case cost,Kwethluk wind feasibility,Modeled wind power
2019,384935.773425,541102.514466,622432.721138
2020,410137.022226,563195.339715,644733.068983
2021,430017.469936,580744.469762,662437.840976
2022,443883.067158,593055.855208,674852.987719
2023,455304.467184,603233.885814,685114.027363
2024,464228.90174,611225.793304,693168.191632
2025,474668.225532,620577.168854,702592.20009
2026,487814.12211,632324.274834,714432.691238
2027,499689.182726,643111.387206,725292.436518
2028,509556.850202,652046.527617,734289.833708
2029,522396.397627,663487.284444,745823.975702
2030,530919.206976,671232.987906,753621.559813
2031,544264.450372,683179.440704,765661.397778
2032,558056.758322,695572.958056,778148.300298
2033,572315.91893,708433.328066,791102.055476
2034,587563.751807,722126.949167,804899.437875
2035,598071.234621,731701.904916,814536.650402
2036,613556.524737,745632.983255,828571.490039
2037,625735.002935,756878.934388,839879.697951
2038,640246.278636,769991.419491,853085.568221
