year,Base case cost,Modeled residential ashp
2017,527818.77614,554003.626964
2018,580183.176664,599049.561126
2019,638788.119073,647591.612286
2020,681449.245204,685678.696941
2021,714344.989656,715143.910286
2022,736704.009697,735215.909589
2023,762265.411344,758947.694645
2024,780367.263262,775677.33412
2025,799940.504764,793649.661105
2026,827813.202523,819464.0402
2027,853514.463848,843564.387008
2028,878232.852652,866910.563369
2029,901683.055072,888302.447125
2030,925658.54465,911134.426334
2031,949734.39173,933151.95475
