year,Base case cost,Modeled residential ashp
2017,589865.058962,420231.590104
2018,629589.160248,448326.256917
2019,689965.640484,492421.528891
2020,718697.429901,513710.480245
2021,753767.682516,543663.781693
2022,773424.054247,559133.557013
2023,794117.124577,577500.740449
2024,808299.582366,589357.311343
2025,830952.703193,609219.367896
2026,862376.968079,637387.39113
2027,885731.211288,657950.570066
2028,907776.446215,677669.918098
2029,924569.996712,691672.404321
2030,945431.42378,710673.121874
2031,971509.440082,733494.896523
