year,Base case cost,Modeled residential ashp
2017,664454.272465,962664.787147
2018,745086.281733,994302.911285
2019,856799.950147,1034896.42387
2020,913930.767128,1058837.83479
2021,951373.409284,1072573.75834
2022,978831.346865,1082646.76893
2023,1001752.8075,1094505.09422
2024,1019321.59176,1101010.74312
2025,1042529.70615,1113155.72216
2026,1067764.47116,1122586.0081
2027,1087952.28318,1130130.23686
2028,1109060.07662,1141755.34285
2029,1125804.4307,1144275.66577
2030,1138421.81321,1148990.80874
2031,1163656.57823,1158421.09469
