year,annotation,consumption,consumption residential,consumption non-residential
2003,,1424676.0,437911.0,986765.0
2004,,1337242.0,423782.0,913460.0
2005,,1243507.0,384975.0,858532.0
2006,,1285636.0,375806.0,909830.0
2007,,1213673.0,346102.0,867571.0
2008,,1321680.0,345753.0,975927.0
2009,,1253688.0,360824.0,892864.0
2010,,1158847.0,342658.0,816189.0
2011,,1185671.0,357806.0,827865.0
2012,,1188781.0,373746.0,815035.0
2013,,1149143.0,371767.0,777376.0
2014,start of forecast,1164256.0,357497.0,806759.0
2015,,1163622.0,356864.0,806759.0
2016,,1163130.0,356372.0,806759.0
2017,,1162672.0,355913.0,806759.0
2018,,1162426.0,355667.0,806759.0
2019,,1162647.0,355889.0,806759.0
2020,,1162868.0,356109.0,806759.0
2021,,1163074.0,356315.0,806759.0
2022,,1163442.0,356683.0,806759.0
2023,,1163844.0,357085.0,806759.0
2024,,1164463.0,357705.0,806759.0
2025,,1165205.0,358446.0,806759.0
2026,,1166122.0,359363.0,806759.0
2027,,1167042.0,360283.0,806759.0
2028,,1167984.0,361226.0,806759.0
2029,,1170237.0,363478.0,806759.0
2030,,1172305.0,365546.0,806759.0
2031,,1174030.0,367272.0,806759.0
2032,,1174839.0,368080.0,806759.0
2033,,1175456.0,368697.0,806759.0
2034,,1176123.0,369364.0,806759.0
2035,,1177103.0,370345.0,806759.0
2036,,1178517.0,371758.0,806759.0
2037,,1180271.0,373513.0,806759.0
2038,,1181920.0,375162.0,806759.0
2039,,1183188.0,376429.0,806759.0
2040,,1184141.0,377382.0,806759.0
