year,Base case cost,Modeled non-residential ashp
2017,155969.601841,184343.236997
2018,166674.270144,193868.928127
2019,178586.638372,204066.420467
2020,185261.966717,209991.490611
2021,190506.867559,214646.902866
2022,193844.531732,217609.437938
2023,196705.386737,220148.753714
2024,194544.365104,217773.372595
2025,196879.577619,219840.635752
2026,195506.141024,218145.659929
2027,198249.796055,220567.775731
2028,195805.541152,217909.161341
2029,198490.596196,220272.677157
2030,200280.632893,221848.354367
2031,198536.063048,219782.245293
