year,Base case cost,Modeled non-residential ashp
2017,2043009.96705,2341763.05458
2018,2281884.30929,2499491.44749
2019,2613226.13886,2722334.46768
2020,2775044.24168,2826451.72213
2021,2882922.97688,2892941.56766
2022,2967684.84026,2943426.46797
2023,3029329.83181,2977901.36561
2024,3075563.57547,3001768.23227
2025,3137208.56702,3036649.88737
2026,3206559.18251,3077134.71005
2027,3268204.17406,3112404.2793
2028,3314437.91772,3137047.19246
2029,3383788.53321,3178093.61609
2030,3422316.65293,3197690.89179
2031,3499372.89236,3244497.03194
