year,Base case cost,Modeled residential ashp
2017,3773824.62835,5646828.38838
2018,4208450.85669,5751081.93892
2019,4811959.53088,5920530.88864
2020,5101878.83855,5970365.36108
2021,5291849.00864,5982858.23699
2022,5430218.13361,5971303.86815
2023,5534227.01319,5952912.89859
2024,5600846.23407,5915870.75058
2025,5694904.65465,5889954.66275
2026,5802190.88851,5869680.87874
2027,5894773.94938,5844602.41645
2028,5958934.23741,5809728.60711
2029,6073801.41315,5800384.37887
2030,6133030.15571,5771488.87454
2031,6250817.02278,5758412.27022
