year,Base case cost,Modeled transmission and interties
2021,119330.215117,597691.576474
2022,123173.888644,590490.9129
2023,125655.982118,582797.944799
2024,127976.248455,575393.275735
2025,130622.401165,568209.382178
2026,133911.398227,561685.595159
2027,136420.276883,554844.715188
2028,138794.113582,548291.52549
2029,141813.026733,542163.711151
2030,143708.078315,535463.060175
2031,147068.502528,529945.705643
2032,150449.015627,524619.968515
2033,153849.617612,519707.748417
2034,157590.614611,514980.435989
2035,160068.243888,509523.329425
2036,163282.465653,504790.277056
2037,165784.648013,499669.918082
2038,169594.840063,495629.720897
2039,172777.812449,491295.251925
2040,176956.300744,487812.402549
