year,annotation,consumption,consumption residential,consumption non-residential
2003,,641179.0,349019.0,292160.0
2004,,719495.0,377462.0,342033.0
2005,,692025.0,377598.0,314427.0
2006,,699718.0,380809.0,318909.0
2007,,696133.0,376469.0,319664.0
2008,,660758.0,359294.0,301464.0
2009,,657728.0,323814.0,333914.0
2010,,664756.0,332779.0,331977.0
2011,,669570.0,339502.0,330068.0
2012,,682776.0,375244.0,307532.0
2013,,638790.0,340097.0,298693.0
2014,start of forecast,659442.0,347345.0,312098.0
2015,,658550.0,346453.0,312098.0
2016,,657724.0,345626.0,312098.0
2017,,656851.0,344753.0,312098.0
2018,,656000.0,343902.0,312098.0
2019,,655252.0,343154.0,312098.0
2020,,654458.0,342361.0,312098.0
2021,,653614.0,341517.0,312098.0
2022,,652780.0,340682.0,312098.0
2023,,651907.0,339810.0,312098.0
2024,,651057.0,338960.0,312098.0
2025,,650205.0,338107.0,312098.0
2026,,649363.0,337265.0,312098.0
2027,,648489.0,336392.0,312098.0
2028,,647626.0,335528.0,312098.0
2029,,647079.0,334982.0,312098.0
2030,,646458.0,334360.0,312098.0
2031,,645742.0,333644.0,312098.0
2032,,644791.0,332693.0,312098.0
2033,,643797.0,331699.0,312098.0
2034,,642846.0,330749.0,312098.0
2035,,641994.0,329896.0,312098.0
2036,,641274.0,329176.0,312098.0
2037,,640670.0,328573.0,312098.0
2038,,640066.0,327968.0,312098.0
2039,,639413.0,327315.0,312098.0
2040,,638714.0,326616.0,312098.0
