year,Base case cost,Modeled transmission and interties
2021,292958.639859,1900027.79681
2022,303544.540291,1887447.06522
2023,311165.045781,1873616.59511
2024,318577.134363,1858443.45486
2025,326349.406529,1845064.11718
2026,335776.425023,1834134.4451
2027,344206.819037,1822547.6392
2028,351119.546301,1809701.91546
2029,360010.13604,1800513.07173
2030,366245.858044,1787858.30529
2031,375784.078848,1779507.69675
2032,386228.703389,1771799.2278
2033,395948.065063,1764558.99779
2034,406240.223543,1758405.32797
2035,413637.625028,1749331.88653
2036,424442.433152,1744631.99196
2037,431618.129402,1736108.9855
2038,442592.188841,1732409.63528
2039,450740.031074,1726703.31691
2040,462365.218506,1724515.93509
