year,Base case cost,Lake redfield
2021,1278291.93655,3076261.95463
2022,1320297.28777,3052511.12399
2023,1345451.54561,3019760.83613
2024,1368327.61093,2987499.14051
2025,1391875.43373,2955278.05022
2026,1421750.82191,2927042.33609
2027,1446630.72835,2896503.72059
2028,1464342.53201,2863152.30478
2029,1490212.25526,2835545.85252
2030,1504642.601,2802496.10788
2031,1537349.59151,2780206.67555
2032,1563141.31289,2753582.03136
2033,1587132.93943,2726030.09531
2034,1615891.42155,2702411.05539
2035,1629292.2771,2671011.9853
2036,1659891.19986,2650878.61749
2037,1675396.08858,2623190.25199
2038,1709451.30105,2606395.88197
2039,1727598.16686,2581195.42818
2040,1761949.24849,2566193.25677
2041,1753980.95413,2528143.04831
2042,1746331.39155,2491116.61646
2043,1739319.29251,2455416.16866
2044,1734538.31589,2422619.22635
2045,1726888.75331,2387610.32237
2046,1721470.31315,2355473.77534
2047,1715733.14121,2323644.70223
2048,1709995.96927,2292427.15805
2049,1705533.72443,2263081.73696
2050,1700115.28427,2233363.32016
2051,1700115.28427,2209632.87426
2052,1700115.28427,2186458.61067
2053,1700115.28427,2163827.49396
2054,1700115.28427,2141726.79387
2055,1700115.28427,2120144.07901
2056,1700115.28427,2099067.20904
2057,1700115.28427,2078484.32825
2058,1700115.28427,2058383.85863
2059,1700115.28427,2038754.49394
2060,1700115.28427,2019585.19235
2061,1700115.28427,2000865.17128
2062,1700115.28427,1982583.90071
2063,1700115.28427,1964731.09737
2064,1700115.28427,1947296.71927
2065,1700115.28427,1930270.95927
2066,1700115.28427,1913644.24047
2067,1700115.28427,1897407.21052
2068,1700115.28427,1881550.73584
2069,1700115.28427,1866065.89732
2070,1700115.28427,1850943.98474
