year,Base case cost,Modeled transmission and interties
2021,248023.28843,912382.035197
2022,255822.762909,919284.540771
2023,261702.86054,922186.339698
2024,266376.125907,923325.567893
2025,271454.878356,925245.257872
2026,278072.127965,930811.752846
2027,283118.783811,933920.991708
2028,286978.935241,934224.453674
2029,294347.245355,940783.712969
2030,297808.329023,939912.061649
2031,304348.546786,946139.910817
2032,310438.342223,951674.960141
2033,316489.621736,957282.505443
2034,323268.424246,964237.708184
2035,327253.752426,964782.814691
2036,333942.684449,971847.200949
2037,337554.62215,973012.424276
2038,344166.522325,979310.280372
2039,348731.729129,983097.310288
2040,356002.679549,991611.159952
