year,Base case cost,Modeled non-residential ashp
2017,174920.795512,221230.077545
2018,191305.053944,237357.80257
2019,206899.194876,252600.397721
2020,218058.931657,263579.610993
2021,225107.186465,270513.850954
2022,230980.732139,276292.384255
2023,226731.416688,271986.061379
2024,230138.725178,275336.362446
2025,225538.952985,270679.582829
2026,229926.272421,274990.892366
2027,233765.176927,278763.288211
2028,228639.719621,273580.823481
2029,232342.335394,277216.930593
2030,226337.476236,271164.565249
2031,230413.278568,275164.357682
