year,Base case cost,Modeled non-residential ashp
2017,149352.743297,207326.596827
2018,166511.026377,218637.557259
2019,191104.565459,235185.114775
2020,202543.420846,242515.147303
2021,211122.562386,247854.120692
2022,216841.99008,251201.65052
2023,221417.532235,253761.837965
2024,224849.188851,255534.316415
2025,228852.788236,257723.204434
2026,234572.21593,261131.136782
2027,238575.815315,263348.818871
2028,242007.471931,265178.901656
2029,247154.956855,268227.028293
2030,250014.670702,269682.43545
2031,255162.155626,272756.75014
