year,Base case cost,Modeled non-residential ashp
2017,23144.9404574,33026.2629223
2018,24813.3180446,33581.3626343
2019,27101.3787356,34537.8198981
2020,28197.7411501,34756.0276629
2021,28912.760116,34745.4235075
2022,29437.1073577,34625.6785566
2023,29818.4508062,34426.5224724
2024,30152.1263237,34207.6732919
2025,30533.4697722,34028.8549125
2026,30962.4811517,33889.8318412
2027,31343.8246002,33730.4090401
2028,31629.8321866,33520.379382
2029,32058.8435662,33409.4361566
2030,32297.1832215,33187.4875203
2031,32773.8625321,33124.1669719
