year,Base case cost,Modeled non-residential ashp
2017,1118761.00372,1248384.74943
2018,1188211.35965,1311362.3992
2019,1289542.71999,1404782.93541
2020,1336872.26591,1447117.33713
2021,1382691.00172,1488752.59626
2022,1412352.7275,1514590.54158
2023,1437313.00829,1536385.71245
2024,1456631.62407,1552595.80105
2025,1484680.87455,1577441.59853
2026,1521754.07066,1611215.12071
2027,1550423.09145,1636787.3468
2028,1576552.23209,1660021.33693
2029,1599548.17817,1680022.20561
2030,1623257.60897,1701086.00164
2031,1655695.79991,1730475.93793
