year,Base case cost,Modeled transmission and interties
2021,136301.402227,705270.906993
2022,140831.056077,699041.108924
2023,143713.563073,691428.922686
2024,146596.070069,684053.225372
2025,149478.577064,676908.474298
2026,153184.657487,670801.533018
2027,156478.951197,664508.701025
2028,159038.209799,657735.059614
2029,162325.821371,651861.507206
2030,164791.53005,645382.447408
2031,168490.093068,640319.644763
2032,172599.607533,635493.556334
2033,176298.170552,631181.626185
2034,180818.636463,627138.443251
2035,182911.815986,621646.131782
2036,187423.093958,617955.466446
2037,189883.791035,612779.571726
2038,193984.952828,609391.311828
2039,197265.882263,605359.766567
2040,202187.276415,602744.516984
