year,Base case cost,Modeled non-residential ashp
2017,110671.594128,180132.78017
2018,121519.827735,190471.00045
2019,136917.320596,205435.754622
2020,143916.180988,211902.716229
2021,149165.326281,216610.866057
2022,153014.699497,219914.561405
2023,155464.300634,221813.465888
2024,157913.901771,223726.058055
2025,160363.502908,225652.017101
2026,163512.990084,228300.433265
2027,166312.534241,230606.895317
2028,168762.135378,232571.104483
2029,171561.679534,234902.172516
2030,173661.337652,236535.709197
2031,176810.824828,239244.945087
