year,Base case cost,Modeled non-residential ashp
2017,484503.28558,588910.621374
2018,512897.688538,614957.398514
2019,550756.89248,650315.875291
2020,568230.371223,665747.826364
2021,579879.357052,675514.381503
2022,588616.096423,682467.031691
2023,595168.650952,687317.978159
2024,600265.082252,690779.443287
2025,606089.575166,694989.877727
2026,613370.191309,700661.544687
2027,619922.745837,705654.311856
2028,625019.177137,709254.273764
2029,631571.731666,714313.062767
2030,635940.101352,717264.395319
2031,643220.717494,723099.251467
