year,Base case cost,"Jade creek, east fork"
2021,464372.761647,921382.31733
2022,475027.586006,919447.362176
2023,483018.704276,915558.308097
2024,489234.018485,910444.674066
2025,496337.234724,906306.976964
2026,505216.255024,903875.009524
2027,512382.708632,900112.313331
2028,518588.035553,895917.42498
2029,526566.313023,893409.282505
2030,531885.16467,888912.744555
2031,540314.756997,887125.664694
2032,549172.375964,885970.329038
2033,557580.566958,884564.508264
2034,567316.100667,884527.838104
2035,573049.171528,881288.3212
2036,582776.858082,881618.810669
2037,588082.86893,878470.923685
2038,597328.312135,878676.804089
2039,603909.335873,876848.237589
2040,614504.236502,878592.169783
2041,614504.236502,871735.431275
2042,614007.725599,864542.886668
2043,614007.725599,858003.791283
2044,613511.214696,851121.445017
2045,613511.214696,844885.277696
2046,613014.703793,838298.759634
2047,613014.703793,832351.487034
2048,612518.192891,826047.092732
2049,612518.192891,820375.331546
2050,612021.681988,814339.991399
2051,612021.681988,808930.978473
2052,612021.681988,803648.739284
2053,612021.681988,798490.302595
2054,612021.681988,793452.766723
2055,612021.681988,788533.298115
2056,612021.681988,783729.129556
2057,612021.681988,779037.558704
2058,612021.681988,774455.946526
2059,612021.681988,769981.715919
2060,612021.681988,765612.350063
2061,612021.681988,761345.391222
2062,612021.681988,757178.43923
2063,612021.681988,753109.150163
2064,612021.681988,749135.235096
2065,612021.681988,745254.458634
2066,612021.681988,741464.637857
2067,612021.681988,737763.641036
2068,612021.681988,734149.386297
2069,612021.681988,730619.840664
2070,612021.681988,727173.018766
