year,Base case cost,Modeled residential ashp
2017,8441558.70381,9869155.95839
2018,9516396.67511,10172366.26
2019,10983945.2021,10634957.2593
2020,11717018.2895,10819824.2114
2021,12219206.1858,10914980.8996
2022,12660319.4629,10991570.1549
2023,12929708.1302,10998026.4871
2024,13194446.41,11002759.7905
2025,13447969.8772,10999137.0298
2026,13767884.735,11025259.7774
2027,14043054.8877,11029082.9502
2028,14279270.0312,11016332.3452
2029,14581360.0788,11032619.032
2030,14745515.6622,10992385.5911
2031,15066852.2529,11013218.6548
