year,Base case cost,Modeled non-residential ashp
2017,598629.147629,665021.615583
2018,633818.296238,699564.099801
2019,681323.646861,746196.453494
2020,703316.864742,767785.50613
2021,718272.252901,782466.061923
2022,729708.726199,793692.369293
2023,737626.284636,801464.428242
2024,743784.385643,807509.36298
2025,751701.94408,815281.421929
2026,760499.231232,823917.042984
2027,768416.789669,831689.101933
2028,774574.890676,837734.036671
2029,783372.177828,846369.657725
2030,788650.55012,851551.030358
2031,797447.837272,860186.651412
