year,annotation,consumption,consumption residential,consumption non-residential
2003,,323343.0,169661.0,153683.0
2004,,314087.0,160404.0,153683.0
2005,,290226.0,178424.0,111802.0
2006,,269454.0,163319.0,106135.0
2007,,248056.0,163581.0,84475.0
2008,,58369.0,34170.0,24199.0
2009,,267803.0,114120.0,153683.0
2010,,258546.0,104863.0,153683.0
2011,,260706.0,107023.0,153683.0
2012,,351598.0,142439.0,209159.0
2013,,360052.0,132362.0,227690.0
2014,start of forecast,256257.0,102574.0,153683.0
2015,,254678.0,100995.0,153683.0
2016,,253740.0,100058.0,153683.0
2017,,252672.0,98989.0,153683.0
2018,,251797.0,98115.0,153683.0
2019,,251151.0,97468.0,153683.0
2020,,250435.0,96752.0,153683.0
2021,,249518.0,95835.0,153683.0
2022,,248251.0,94568.0,153683.0
2023,,246584.0,92901.0,153683.0
2024,,245184.0,91502.0,153683.0
2025,,244054.0,90372.0,153683.0
2026,,243303.0,89620.0,153683.0
2027,,242387.0,88705.0,153683.0
2028,,241345.0,87662.0,153683.0
2029,,242019.0,88337.0,153683.0
2030,,242280.0,88597.0,153683.0
2031,,242099.0,88417.0,153683.0
2032,,240752.0,87069.0,153683.0
2033,,239134.0,85451.0,153683.0
2034,,237643.0,83961.0,153683.0
2035,,236571.0,82889.0,153683.0
2036,,236078.0,82395.0,153683.0
2037,,235595.0,81913.0,153683.0
2038,,235504.0,81821.0,153683.0
2039,,234968.0,81285.0,153683.0
2040,,234146.0,80463.0,153683.0
