year,Base case cost,Modeled transmission and interties
2021,191113.564085,962609.556551
2022,196613.962612,967563.909295
2023,199698.698137,970264.645716
2024,201616.446704,972087.835183
2025,205309.960424,975351.865371
2026,209520.838363,979315.949949
2027,213150.167801,982522.014923
2028,216203.783673,985189.331624
2029,221105.128895,989577.306252
2030,224627.484529,992867.950445
2031,229274.037598,997031.616861
2032,233881.691102,1001160.2902
2033,237592.709627,1004466.11664
2034,241225.929022,1007909.70897
2035,244079.212133,1010397.34015
2036,249941.376617,1015691.49635
2037,252215.056206,1017637.48432
2038,258055.825929,1022912.31877
2039,261342.839192,1026016.98798
2040,266707.089241,1030866.24058
