year,Base case cost,Modeled residential ashp
2017,273789.87527,298754.019072
2018,291201.63527,315861.893829
2019,314900.97527,339684.688766
2020,325541.49527,349661.063158
2021,332796.39527,356070.554555
2022,338116.65527,360454.474313
2023,341985.93527,363326.122257
2024,344887.89527,365198.814958
2025,348757.17527,368127.928374
2026,353117.416062,371606.083516
2027,356503.106062,374076.055931
2028,359888.796062,376572.470494
2029,363758.156062,379608.731789
2030,366184.076854,381135.70806
2031,371020.876854,385249.961384
