year,Base case cost,Modeled transmission and interties
2021,291378.667826,2097195.78255
2022,299890.853628,2079273.39183
2023,305129.121814,2058926.70497
2024,309712.606476,2038512.27672
2025,315605.658185,2020026.87411
2026,322992.434806,2003648.75637
2027,328900.833004,1986003.9079
2028,333496.253824,1967873.96935
2029,340061.140711,1952295.33421
2030,344000.072842,1934240.19305
2031,350564.959729,1920005.54922
2032,357786.335304,1906319.4239
2033,365007.710879,1893431.01147
2034,372229.086453,1881017.93271
2035,376824.507274,1866380.87927
2036,384702.371537,1855246.3739
2037,388641.303669,1840833.27986
2038,396519.167933,1830573.77543
2039,402427.56613,1819031.29902
2040,410305.430394,1809917.23433
