year,Base case cost,False pass heat recovery
2019,142660.583708,142906.502681
2020,150587.408417,149831.45739
2021,156011.025323,154569.584296
2022,160183.038328,158214.2973
2023,163103.447431,160765.596403
2024,165606.655234,162952.424206
2025,168109.863036,165139.252009
2026,171864.67474,168419.493713
2027,174785.083844,170970.792816
2028,177288.291646,173157.620619
2029,180625.90205,176073.391023
2030,182294.707252,177531.276224
2031,186049.518956,180811.517929
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
