year,Base case diesel consumed,Scammon bay wind feasibility,Modeled wind power
2019,126755.655489,99781.2652797,77708.3404826
2020,127049.071358,100074.681149,78001.7563518
2021,127342.487227,100368.097018,78295.172221
2022,127635.903097,100661.512887,78588.5880902
2023,128002.672933,101028.282724,78955.3579267
2024,128369.44277,101395.05256,79322.1277632
2025,128662.858639,101688.468429,79615.5436324
2026,129029.628475,102055.238266,79982.3134688
2027,129396.398312,102422.008102,80349.0833053
2028,129763.168148,102788.777939,80715.8531418
2029,130129.937985,103155.547775,81082.6229783
2030,130496.707821,103522.317612,81449.3928148
2031,130936.831625,103962.441416,81889.5166186
2032,131303.601461,104329.211252,82256.2864551
2033,131670.371298,104695.981089,82623.0562915
2034,132110.495102,105136.104892,83063.1800953
2035,132477.264938,105502.874729,83429.9499318
2036,132917.388742,105942.998533,83870.0737356
2037,133357.512546,106383.122336,84310.1975394
2038,133797.63635,106823.24614,84750.3213431
