year,Base case cost,Modeled transmission and interties
2021,413863.083489,1756104.17569
2022,426303.916343,1751192.64852
2023,435209.087973,1740958.54213
2024,442874.577555,1731103.17252
2025,451606.633822,1723017.71707
2026,463216.366226,1717441.2443
2027,472296.853838,1709179.89814
2028,481421.35383,1701383.90554
2029,491891.165582,1697109.63482
2030,498497.423877,1687018.37938
2031,510653.643338,1684112.03629
2032,522588.333817,1681319.7779
2033,533265.003757,1680317.71679
2034,546937.449721,1678883.09772
2035,555079.740091,1673998.25339
2036,567557.249928,1673269.90211
2037,576104.454198,1669548.06854
2038,588709.599938,1671140.90549
2039,600042.787886,1668466.08579
2040,614131.150845,1672509.46073
