year,Base case cost,Scammon bay wind feasibility,Modeled wind power
2019,373929.183693,560627.170969,606188.234606
2020,396393.102638,573937.234556,614477.776078
2021,413863.083489,583295.174334,619609.811216
2022,426303.916343,588662.897042,621545.244145
2023,435209.087973,591301.375937,621356.109204
2024,442874.577555,593044.444884,620499.364467
2025,451606.633822,595736.271802,620442.324492
2026,463216.366226,600955.645993,622574.906899
2027,472296.853838,604211.876576,623157.369527
2028,481421.35383,607616.324297,623924.283873
2029,491891.165582,612238.148533,625756.000279
2030,498497.423877,613784.88999,625111.069324
2031,510653.643338,620059.849846,628476.263623
2032,522588.333817,626208.054444,631747.65784
2033,533265.003757,631420.488657,634303.424249
2034,546937.449721,639259.686666,639141.463348
2035,555079.740091,642575.784937,640238.933817
2036,567557.249928,649624.205595,644534.819802
2037,576104.454198,653515.589898,646266.818923
2038,588709.599938,660858.025503,650914.573981
