year,Base case diesel consumed,Modeled solar power (pv)
2016,125875.407882,123887.481705
2017,126168.823751,124196.800984
2018,126462.23962,124505.993035
2019,126755.655489,124815.058877
2020,127049.071358,125123.999519
2021,127342.487227,125432.815963
2022,127635.903097,125741.509202
2023,128002.672933,126123.43419
2024,128369.44277,126505.237936
2025,128662.858639,126813.567444
2026,129029.628475,127195.13161
2027,129396.398312,127576.577422
2028,129763.168148,127957.905825
2029,130129.937985,128339.11776
2030,130496.707821,128720.214159
2031,130936.831625,129174.549912
2032,131303.601461,129555.418002
2033,131670.371298,129936.173306
2034,132110.495102,130390.170694
2035,132477.264938,130770.703126
