year,Base case cost,Feasinility assessment for biomass heating system
2019,906036.264353,921246.332458
2020,935513.574949,947672.110054
2021,956162.779651,965772.739562
2022,970907.679651,978315.202851
2023,990168.065545,995562.490393
2024,999095.654948,1002665.53843
2025,1009502.41965,1011201.55571
2026,1022867.01495,1022570.45236
2027,1033260.03025,1031154.09006
2028,1042167.21555,1038359.50818
2029,1046099.57495,1040463.01682
2030,1053464.83025,1046261.66005
2031,1066742.29495,1057688.08953
2032,1079997.96555,1069119.65541
2033,1084971.05435,1072294.93883
2034,1099596.23965,1085070.00169
2035,1108368.22495,1092328.94553
2036,1121522.14555,1103760.31784
2037,1121657.58435,1102431.12745
2038,1136162.33495,1115182.60735
