year,Base case cost,Modeled non-residential ashp
2017,348842.025896,365156.022415
2018,375342.463217,390569.605743
2019,411118.053601,424877.943235
2020,427680.826927,440761.432814
2021,438943.512788,451562.205729
2022,447556.154918,459821.62031
2023,452856.242382,464904.336976
2024,458156.329846,469987.053641
2025,463456.417311,475069.770307
2026,470744.037574,482058.505722
2027,476706.635971,487776.56197
2028,481344.212502,492223.939053
2029,487969.321833,498577.334884
2030,491944.387431,502389.372384
2031,498569.496761,508742.768215
