year,Base case cost,Modeled residential ashp
2017,278892.323442,369323.818583
2018,300361.903442,391606.71754
2019,328832.433442,421486.686845
2020,341900.873442,434723.586582
2021,350768.743442,443436.718813
2022,357769.693442,450150.547973
2023,356091.629977,447975.972092
2024,360223.979977,451631.51759
2025,364356.329977,455306.309105
2026,369866.129977,460492.131798
2027,374457.629977,464701.484752
2028,378130.829977,467933.937798
2029,389507.333442,479001.98469
2030,392774.443442,481824.683697
2031,398375.203442,487189.036356
