year,Base case cost,Modeled non-residential ashp
2017,278892.323442,320030.198318
2018,300361.903442,341976.289613
2019,328832.433442,371218.834306
2020,341900.873442,384439.027723
2021,350768.743442,393295.947043
2022,357769.693442,400218.401469
2023,356091.629977,398355.94476
2024,360223.979977,402312.246619
2025,364356.329977,406276.697998
2026,369866.129977,411683.779419
2027,374457.629977,416142.185136
2028,378130.829977,419651.732999
2029,389507.333442,430929.217796
2030,392774.443442,434028.251984
2031,398375.203442,439563.373964
