year,Base case cost,Modeled non-residential ashp
2017,413841.874762,400484.482819
2018,440158.686754,426762.58621
2019,476344.303244,462894.978374
2020,492792.310739,479318.792994
2021,503976.955836,490486.986936
2022,512529.919734,499027.370538
2023,518451.202432,504939.943801
2024,523056.644531,509538.611895
2025,528977.927229,515451.185158
2026,536215.050527,522677.663591
2027,542136.333226,528590.236854
2028,546741.775324,533188.904947
2029,553320.978322,539758.430795
2030,557268.500121,543700.146304
2031,564505.623419,550926.624737
