year,Base case cost,Modeled transmission and interties
2021,666026.739417,2154623.77598
2022,683200.172021,2149772.1263
2023,696339.033302,2142266.69862
2024,706650.749715,2132182.54646
2025,719052.639117,2123648.81537
2026,730993.645008,2116309.78692
2027,741242.045155,2107596.21328
2028,748996.078945,2096625.63392
2029,762243.903101,2090899.40823
2030,768738.973942,2079455.80744
2031,781544.320477,2075345.86034
2032,794177.387871,2070238.82996
2033,807260.295244,2066041.85667
2034,819346.339555,2062380.25363
2035,828453.574457,2055868.93638
2036,841490.835219,2054030.24574
2037,850611.322362,2047074.88511
2038,864348.006985,2045524.46781
2039,872613.724547,2039580.6442
2040,886276.785605,2039880.69416
