year,Base case cost,Modeled transmission and interties
2021,68628.0327602,1007366.45626
2022,69782.1416452,992339.155076
2023,70612.8814267,977464.395932
2024,71443.6212082,962863.593263
2025,72164.1422248,948552.357128
2026,73081.4174002,934856.870539
2027,73904.8699906,921388.447853
2028,74397.6662864,907991.575621
2029,75422.4275301,895268.316077
2030,75903.3821404,882414.162767
2031,76580.1800106,870314.502008
2032,77450.0884441,858419.120958
2033,77954.7264254,846711.252638
2034,78797.3078924,835467.739328
2035,78670.6929476,823949.418967
2036,79488.6801447,813242.437587
2037,79904.0500355,802448.729653
2038,80324.8853195,792134.773039
2039,80720.2154348,782014.677701
2040,81297.7253268,772175.950382
