year,Base case cost,Modeled residential ashp
2017,36270.1857855,48052.29719
2018,34094.7242349,44849.3066531
2019,36691.6178689,46182.5728568
2020,37816.9384437,46571.8069374
2021,38682.569655,46800.9545985
2022,39288.511503,46869.8296791
2023,39634.7639875,46778.2503846
2024,39981.016472,46694.0683932
2025,40413.8320777,46673.1200674
2026,40933.2108045,46715.2360956
2027,41279.463289,46652.2219248
2028,41625.7157736,46595.9355622
2029,42058.5313792,46602.22906
2030,42404.7838638,46558.9289592
2031,42837.5994694,46577.9043533
