year,Base case cost,Modeled non-residential ashp
2017,84912.0794162,96291.8820573
2018,89935.5002254,100656.242055
2019,96785.6195107,106704.433326
2020,99754.0045343,109192.660641
2021,102037.377629,111057.238265
2022,103635.738796,112298.035198
2023,104549.088034,112914.923513
2024,105462.437272,113537.017226
2025,106604.12382,114373.940649
2026,107974.147677,115425.57464
2027,108887.496915,116062.563906
2028,109800.846153,116704.287453
2029,110942.5327,117560.380635
2030,111855.881938,118211.242467
2031,112997.568486,119076.259754
