year,Base case cost,Modeled transmission and interties
2021,116745.364215,1052545.34833
2022,119952.65444,1040106.69213
2023,122197.757598,1027263.19143
2024,124122.131734,1014294.02196
2025,126367.234892,1001925.5828
2026,129357.189003,991017.319438
2027,131609.677369,979545.960011
2028,133540.381683,967915.368701
2029,136114.654101,957111.536805
2030,138175.127065,946291.023533
2031,141080.678802,936582.818298
2032,143663.391457,927134.678485
2033,147047.926669,918251.653689
2034,149962.973674,909634.856261
2035,151906.338343,900064.572265
2036,155145.279459,891792.607951
2037,156764.750018,882715.483061
2038,160003.691134,874956.749616
2039,162799.519784,867416.2253
2040,166049.011197,860608.9961
