year,Base case cost,Modeled non-residential ashp
2017,492724.735267,610839.974478
2018,521650.441845,638557.907028
2019,559873.696965,675185.175042
2020,578468.794051,693003.845967
2021,590865.525442,704882.959918
2022,600163.073984,713792.29538
2023,607394.500629,720721.778518
2024,612559.805375,725671.409331
2025,618758.17107,731610.966306
2026,627022.658664,739530.375606
2027,633221.024359,745469.932581
2028,638386.329105,750419.563394
2029,645617.755749,757349.046531
2030,650783.060495,762298.677344
2031,659047.548089,770218.086644
