year,annotation,consumption,consumption residential,consumption non-residential
2003,,729434.0,276811.0,452623.0
2004,,804408.0,297492.0,506916.0
2005,,746004.0,286373.0,459631.0
2006,,757701.0,291076.0,466625.0
2007,,741560.0,281045.0,460515.0
2008,,816889.0,296272.0,520617.0
2009,,839644.0,313835.0,525809.0
2010,,822629.0,297343.0,525286.0
2011,,789309.0,288404.0,500905.0
2012,,775115.0,289692.0,485423.0
2013,,792700.0,285854.0,506846.0
2014,start of forecast,789109.0,291384.0,497725.0
2015,,789733.0,292008.0,497725.0
2016,,790387.0,292662.0,497725.0
2017,,791058.0,293334.0,497725.0
2018,,791752.0,294027.0,497725.0
2019,,792468.0,294744.0,497725.0
2020,,793190.0,295465.0,497725.0
2021,,793903.0,296179.0,497725.0
2022,,794616.0,296891.0,497725.0
2023,,795321.0,297596.0,497725.0
2024,,796030.0,298305.0,497725.0
2025,,796731.0,299007.0,497725.0
2026,,797430.0,299705.0,497725.0
2027,,798111.0,300387.0,497725.0
2028,,798779.0,301055.0,497725.0
2029,,799519.0,301795.0,497725.0
2030,,800233.0,302508.0,497725.0
2031,,800914.0,303190.0,497725.0
2032,,801518.0,303793.0,497725.0
2033,,802092.0,304368.0,497725.0
2034,,802659.0,304935.0,497725.0
2035,,803238.0,305513.0,497725.0
2036,,803839.0,306115.0,497725.0
2037,,804463.0,306739.0,497725.0
2038,,805071.0,307346.0,497725.0
2039,,805636.0,307911.0,497725.0
2040,,806167.0,308443.0,497725.0
